1960 US Presidential Election,Nixon,Kennedy,Unpledged,
Hamilton,1592,1136,0,
Hansford,1322,512,0,
Hardeman,1472,1182,0,
Hardin,2115,4315,0,
Harris,168170,148275,0,
Harrison,4613,5108,0,
Hartley,413,397,0,
Haskell,866,2776,0,
Hays,1606,2916,0,
Hemphill,847,333,0,
Henderson,2521,3411,0,
Hidalgo,13628,18663,0,
Hill,2226,4340,0,
Hockley,2159,3169,0,
Hood,943,1238,0,
Hopkins,2117,3228,0,
Houston,1591,2703,0,
Howard,3403,4844,0,
Hudspeth,267,409,0,
Hunt,4084,4116,0,
Hutchinson,6432,3295,0,
Irion,238,246,0,
Jack,1342,1079,0,
Jackson,1670,2268,0,
Jasper,2102,3004,0,
Jeff Davis,182,195,0,
Jefferson,29395,40533,0,
Jim Hogg,224,1255,0,
Jim Wells,2773,5330,0,
Johnson,4510,3844,0,
Jones,2196,2772,0,
Karnes,1526,2556,0,
Kaufman,2717,3008,0,
Kendall,1544,549,0,
Kenedy,74,78,0,
Kent,205,491,0,
Kerr,3252,1323,0,
Kimble,699,550,0,
King,39,133,0,
Kinney,211,358,0,
Kleberg,2092,3773,0,
Knox,729,1365,0,
Lamar,3964,5084,0,
Lamb,2764,3089,0,
Lampasas,1222,1372,0,
La Salle,326,718,0,
Lavaca,1507,4002,0,
Lee,1048,1369,0,
Leon,868,1803,0,
Liberty,3361,3902,0,
Limestone,2023,3472,0,
Lipscomb,939,267,0,
Live Oak,1048,770,0,
Llano,704,1131,0,
Loving,42,46,0,
Lubbock,20065,15340,0,
Lynn,953,1872,0,
McCulloch,1165,1579,0,
McLennan,14926,20100,0,
McMullen,241,240,0,
Madison,607,909,0,
Marion,742,904,0,
Martin,350,831,0,
Mason,833,575,0,
Matagorda,2975,2971,0,
Maverick,639,1498,0,
Medina,2028,2325,0,
Menard,608,491,0,
Midland,11343,5842,0,
Milam,1898,3640,0,
Mills,1012,869,0,
Mitchell,1208,2131,0,
Montague,2101,2346,0,
Montgomery,3309,3510,0,
Moore,2463,1547,0,
Morris,1569,1952,0,
Motley,480,439,0,
Nacogdoches,3042,3522,0,
Navarro,3361,5540,0,
Newton,756,1815,0,
Nolan,2421,3247,0,
Nueces,18907,29361,0,
Ochiltree,1870,521,0,
Oldham,313,326,0,
Orange,5483,9078,0,
Palo Pinto,2695,3022,0,
Panola,2264,2187,0,
Parker,3467,3629,0,
Parmer,1674,1090,0,
Pecos,1412,1724,0,
Polk,1268,2037,0,
Potter,14202,8989,0,
Presidio,376,866,0,
Rains,401,680,0,
Randall,6958,3282,0,
Reagan,489,621,0,
Real,377,273,0,
Red River,1527,2850,0,
Reeves,1549,2235,0,
Refugio,1062,1777,0,
Roberts,339,104,0,
Robertson,935,2669,0,
Rockwall,652,917,0,
Runnels,2128,1938,0,
Rusk,6001,4390,0,
Sabine,619,1208,0,
San Augustine,638,1269,0,
San Jacinto,448,1115,0,
San Patricio,3129,5246,0,
San Saba,849,1251,0,
Schleicher,455,351,0,
Scurry,2235,3020,0,
Shackelford,684,713,0,
Shelby,1679,3266,0,
Sherman,686,305,0,
Smith,12042,8494,0,
Somervell,441,345,0,
Starr,280,4051,0,
Stephens,1664,1357,0,
Sterling,182,193,0,
Stonewall,306,864,0,
Sutton,437,474,0,
Swisher,1310,1777,0,
Tarrant,72813,59385,0,
Taylor,12258,9347,0,
Terrell,291,352,0,
Terry,1908,2237,0,
Throckmorton,442,689,0,
Titus,2216,2701,0,
Tom Green,8176,7031,0,
Travis,22107,27022,0,
Trinity,707,1521,0,
Tyler,1401,1242,0,
Upshur,2262,3248,0,
Upton,798,930,0,
Uvalde,2214,1324,0,
Val Verde,1551,2049,0,
Van Zandt,2120,2825,0,
Victoria,4591,5779,0,
Walker,1750,1832,0,
Waller,1115,1101,0,
Ward,1763,2018,0,
Washington,2613,1864,0,
Webb,1802,10059,0,
Wharton,3387,5004,0,
Wheeler,1428,1011,0,
Wichita,12587,14587,0,
Wilbarger,2796,2319,0,
Willacy,1367,2109,0,
Williamson,2429,5410,0,
Wilson,1248,2905,0,
Winkler,1562,1642,0,
Wise,2562,2470,0,
Wood,2400,2633,0,
Yoakum,1207,994,0,
Young,2067,2419,0,
Zapata,260,675,0,
Zavala,761,706,0,
