1984 US Presidential Election,Reagan,Mondale,Other,
Hopkins,5772,3707,14,
Houston,4542,3275,17,
Howard,7519,4115,57,
Hudspeth,557,362,4,
Hunt,14303,6971,48,
Hutchinson,9078,2052,41,
Irion,619,199,4,
Jack,1825,945,9,
Jackson,3661,1804,13,
Jasper,5965,5787,27,
Jeff Davis,511,299,5,
Jefferson,45124,54846,245,
Jim Hogg,608,1703,2,
Jim Wells,5896,7795,24,
Johnson,18254,9148,72,
Jones,4017,2343,23,
Karnes,3068,1802,12,
Kaufman,9343,5554,41,
Kendall,4568,938,16,
Kenedy,96,110,1,
Kent,332,253,3,
Kerr,11829,3102,43,
Kimble,1333,442,9,
King,141,53,0,
Kinney,774,486,3,
Kleberg,5712,4924,45,
Knox,1027,921,4,
Lamar,9273,5504,43,
Lamb,3892,1919,17,
Lampasas,3285,1356,12,
La Salle,1007,1504,3,
Lavaca,5058,2464,10,
Lee,2967,1659,6,
Leon,3207,1821,10,
Liberty,10504,6292,70,
Limestone,4063,3228,14,
Lipscomb,1461,241,6,
Live Oak,2481,1260,18,
Llano,4042,1894,18,
Loving,57,16,0,
Lubbock,57151,18793,275,
Lynn,1617,1009,4,
McCulloch,2060,1433,9,
McLennan,42232,23206,140,
McMullen,337,61,0,
Madison,2158,1384,11,
Marion,2336,2111,16,
Martin,1218,512,10,
Mason,1168,570,5,
Matagorda,8452,5201,41,
Maverick,1783,3063,15,
Medina,5737,3053,13,
Menard,725,394,6,
Midland,33706,7214,119,
Milam,4384,3734,22,
Mills,1262,688,10,
Mitchell,2007,1332,18,
Montague,4406,2602,22,
Montgomery,41230,13293,167,
Moore,4649,1129,18,
Morris,2778,2925,24,
Motley,533,282,4,
Nacogdoches,13063,5694,55,
Navarro,7816,5672,21,
Newton,2123,3296,20,
Nolan,3608,2524,4,
Nueces,54333,46721,159,
Ochiltree,3492,419,6,
Oldham,762,226,2,
Orange,15386,16816,101,
Palo Pinto,5701,3349,27,
Panola,5676,3179,30,
Parker,13647,6050,62,
Parmer,2524,567,11,
Pecos,3451,1596,33,
Polk,5987,3898,33,
Potter,20396,8365,141,
Presidio,837,992,73,
Rains,1560,1027,4,
Randall,30249,6044,116,
Reagan,1079,243,2,
Real,1004,360,5,
Red River,2979,2518,15,
Reeves,2461,2396,15,
Refugio,2421,1559,8,
Roberts,539,106,0,
Robertson,2663,3339,14,
Rockwall,6688,1639,22,
Runnels,2968,1179,30,
Rusk,11081,4599,61,
Sabine,2045,1940,8,
San Augustine,1937,1583,9,
San Jacinto,3174,2466,19,
San Patricio,11074,8838,50,
San Saba,1566,1070,11,
Schleicher,854,326,7,
Scurry,5028,1564,37,
Shackelford,1181,415,8,
Shelby,4863,3610,28,
Sherman,1269,246,9,
Smith,40740,15227,152,
Somervell,1422,635,4,
Starr,1658,5047,8,
Stephens,2898,1046,11,
Sterling,577,129,4,
Stonewall,599,643,2,
Sutton,1251,465,5,
Swisher,1611,1642,8,
Tarrant,248050,120147,665,
Taylor,34444,9628,130,
Terrell,407,289,2,
Terry,3181,1535,8,
Throckmorton,586,388,5,
Titus,5069,3631,27,
Tom Green,23847,8981,82,
Travis,124944,94124,745,
Trinity,2599,2115,21,
Tyler,3638,3119,28,
Upshur,7325,4614,37,
Upton,1603,380,11,
Uvalde,4790,2482,15,
Val Verde,5909,3857,21,
Van Zandt,8474,4506,23,
Victoria,18787,7037,121,
Walker,8809,4263,28,
Waller,4116,3828,19,
Ward,3474,1188,31,
Washington,6506,2483,7,
Webb,8582,12308,46,
Wharton,8495,5072,17,
Wheeler,2251,805,6,
Wichita,28932,16009,139,
Wilbarger,3644,2011,18,
Willacy,2340,3037,14,
Williamson,25774,9911,99,
Wilson,4588,2829,17,
Winkler,2213,752,9,
Wise,6958,3856,39,
Wood,7144,3449,19,
Yoakum,2204,456,8,
Young,5282,2203,18,
Zapata,1214,1577,10,
Zavala,924,2937,7,
