2004 US Presidential Election,Bush,Kerry,Other,
Kenedy,82,85,2,
Kent,382,138,2,
Kerr,16538,4557,151,
Kimble,1482,324,10,
King,137,18,1,
Kinney,1051,542,7,
Kleberg,5366,4550,57,
Knox,1081,464,7,
Lamar,12054,5338,78,
Lamb,3410,857,4,
Lampasas,5422,1593,10,
La Salle,989,1229,12,
Lavaca,5974,2152,51,
Lee,4160,1899,29,
Leon,5023,1754,22,
Liberty,14821,6780,90,
Limestone,5028,2752,38,
Lipscomb,1147,184,6,
Live Oak,3147,1036,18,
Llano,7241,2257,65,
Loving,65,12,3,
Lubbock,70135,22472,544,
Lynn,1776,490,5,
McCulloch,2465,745,10,
McLennan,52090,26760,404,
McMullen,467,95,2,
Madison,2837,1235,29,
Marion,2441,1884,23,
Martin,1514,288,5,
Mason,1600,459,18,
Matagorda,8119,4355,47,
Maverick,4025,5948,61,
Medina,10389,4322,115,
Menard,761,331,11,
Midland,36585,8005,244,
Milam,5291,3445,47,
Mills,1794,416,21,
Mitchell,1912,639,7,
Montague,5910,1946,41,
Montgomery,104654,28628,706,
Moore,4601,1009,18,
Morris,2818,2437,23,
Motley,564,113,7,
Nacogdoches,14160,7152,154,
Navarro,10715,5259,60,
Newton,3159,2513,28,
Nolan,3722,1541,26,
Nueces,59359,44439,762,
Ochiltree,2922,251,4,
Oldham,733,108,2,
Orange,20292,11476,140,
Palo Pinto,7137,2816,61,
Panola,7021,2958,28,
Parker,31795,8966,196,
Parmer,2375,389,9,
Pecos,3167,1242,19,
Polk,13778,6964,104,
Potter,21401,7489,166,
Presidio,715,1159,16,
Rains,2998,1213,18,
Randall,40520,7849,218,
Reagan,956,184,3,
Real,1314,325,6,
Red River,3379,2097,14,
Reeves,1777,1600,18,
Refugio,2212,1232,11,
Roberts,461,46,0,
Robertson,3792,2979,24,
Rockwall,20120,5320,141,
Runnels,3239,792,18,
Rusk,13390,4899,55,
Sabine,3138,1476,25,
San Augustine,2235,1506,16,
San Jacinto,5394,2688,43,
San Patricio,13474,7764,82,
San Saba,1894,529,8,
Schleicher,1012,312,5,
Scurry,4576,981,15,
Shackelford,1292,229,6,
Shelby,6295,2951,33,
Sherman,942,124,0,
Smith,53392,19970,302,
Somervell,2701,831,19,
Starr,2552,7199,30,
Stephens,2803,703,13,
Sterling,544,71,0,
Stonewall,499,250,3,
Sutton,1173,280,0,
Swisher,1487,626,7,
Tarrant,349462,207286,3393,
Taylor,37197,10648,254,
Terrell,306,159,4,
Terry,3166,794,10,
Throckmorton,656,202,5,
Titus,5709,3173,25,
Tom Green,28185,9007,225,
Travis,147885,197235,6993,
Trinity,3985,2204,24,
Tyler,5043,2659,43,
Upshur,10232,4225,69,
Upton,1009,185,3,
Uvalde,5148,3298,37,
Val Verde,6968,4757,70,
Van Zandt,14976,4822,58,
Victoria,20875,8553,174,
Walker,11710,5977,135,
Waller,7679,6145,57,
Ward,2856,901,11,
Washington,9597,3389,77,
Webb,17753,23654,149,
Wharton,9288,4702,49,
Wheeler,1960,420,14,
Wichita,32472,12819,254,
Wilbarger,3685,1284,21,
Willacy,2209,2734,19,
Williamson,83284,43117,1797,
Wilson,10400,4409,76,
Winkler,1604,391,7,
Wise,15177,4783,87,
Wood,12831,4034,64,
Yoakum,2228,376,9,
Young,5874,1511,24,
Zapata,1228,1662,8,
Zavala,777,2332,9,
