1968 US Presidential Election,Nixon,Humphrey,Wallace,
Henderson,2315,3119,2497,
Hidalgo,14455,20087,2569,
Hill,1809,3415,1751,
Hockley,2265,2426,1456,
Hood,593,1155,411,
Hopkins,1860,2700,1932,
Houston,1391,2782,2062,
Howard,3812,3897,2789,
Hudspeth,285,289,132,
Hunt,4651,4785,3469,
Hutchinson,4813,2416,2919,
Irion,211,187,92,
Jack,966,1133,512,
Jackson,1438,1698,1145,
Jasper,1839,2438,2906,
Jeff Davis,191,239,66,
Jefferson,26007,30032,21824,
Jim Hogg,223,1276,53,
Jim Wells,2827,6304,913,
Johnson,4372,5330,2709,
Jones,1676,2372,931,
Karnes,1342,2271,686,
Kaufman,2431,3311,2350,
Kendall,1569,538,364,
Kenedy,76,100,7,
Kent,143,303,188,
Kerr,3692,1878,1073,
Kimble,640,463,264,
King,44,109,71,
Kinney,198,333,68,
Kleberg,2713,4633,670,
Knox,580,1222,325,
Lamar,3395,4635,2903,
Lamb,2595,2267,1460,
Lampasas,935,1423,460,
La Salle,324,645,112,
Lavaca,1698,2165,1451,
Lee,1075,1283,631,
Leon,659,1536,880,
Liberty,2746,3469,3393,
Limestone,1485,2796,1402,
Lipscomb,1079,279,187,
Live Oak,938,922,484,
Llano,1079,1282,464,
Loving,23,18,40,
Lubbock,25646,15430,9078,
Lynn,1005,1333,544,
McCulloch,947,1353,359,
McLennan,15958,22388,8268,
McMullen,169,160,99,
Madison,608,994,765,
Marion,637,1260,957,
Martin,343,373,539,
Mason,789,560,169,
Matagorda,3094,3595,1777,
Maverick,771,1570,165,
Medina,2058,2471,722,
Menard,491,362,118,
Midland,12789,4756,5675,
Milam,1614,3269,1525,
Mills,645,722,296,
Mitchell,893,1589,499,
Montague,1736,2555,914,
Montgomery,4353,4021,4879,
Moore,2378,1359,1258,
Morris,1064,1701,1323,
Motley,415,397,295,
Nacogdoches,3235,3449,3196,
Navarro,2845,5296,2245,
Newton,555,1476,1509,
Nolan,1969,2784,1185,
Nueces,21307,39025,7159,
Ochiltree,2208,432,492,
Oldham,320,237,230,
Orange,5886,6485,8845,
Palo Pinto,2627,3552,1257,
Panola,1586,1711,2650,
Parker,3068,4301,1934,
Parmer,1539,833,730,
Pecos,1524,1592,900,
Polk,1013,1841,1712,
Potter,13338,8238,5486,
Presidio,481,969,132,
Rains,340,558,306,
Randall,11400,4060,3128,
Reagan,454,370,288,
Real,290,277,136,
Red River,1305,2245,1554,
Reeves,1310,1456,743,
Refugio,1114,1699,486,
Roberts,311,90,113,
Robertson,965,2833,944,
Rockwall,614,778,582,
Runnels,1707,1448,668,
Rusk,3739,4078,4729,
Sabine,455,1078,935,
San Augustine,506,817,1137,
San Jacinto,381,1235,693,
San Patricio,3717,6818,1876,
San Saba,535,1140,465,
Schleicher,396,378,178,
Scurry,1745,2031,1084,
Shackelford,557,673,277,
Shelby,1127,2511,3285,
Sherman,723,297,376,
Smith,12079,8897,9595,
Somervell,313,384,204,
Starr,1374,3922,71,
Stephens,1287,1239,525,
Sterling,170,151,54,
Stonewall,213,635,262,
Sutton,412,351,147,
Swisher,1177,1760,623,
Tarrant,81786,79705,29256,
Taylor,12218,9107,4289,
Terrell,250,201,149,
Terry,1948,1625,854,
Throckmorton,317,618,126,
Titus,1572,2317,1886,
Tom Green,9682,6774,3074,
Travis,34309,39667,8424,
Trinity,636,1146,997,
Tyler,1120,1204,1462,
Upshur,1519,2480,2886,
Upton,664,463,459,
Uvalde,2252,1736,768,
Val Verde,1914,3205,573,
Van Zandt,1954,2706,2091,
Victoria,6352,6042,2336,
Walker,1946,2391,1452,
Waller,958,1684,797,
Ward,1552,1331,1382,
Washington,3244,1686,677,
Webb,2103,9419,304,
Wharton,3773,4304,1882,
Wheeler,1176,812,570,
Wichita,11937,15387,6087,
Wilbarger,1909,1996,1292,
Willacy,1243,1930,465,
Williamson,2923,5528,1669,
Wilson,1321,2336,542,
Winkler,1391,938,1249,
Wise,1983,2774,1107,
Wood,2046,2192,2020,
Yoakum,1123,615,724,
Young,1860,2482,1004,
Zapata,251,909,52,
Zavala,693,1307,214,
