2008 US Presidential Election,McCain,Obama,Other,
Loving,67,12,0,
Lubbock,66304,30486,744,
Lynn,1473,627,16,
McCulloch,2263,728,19,
McLennan,49044,29998,632,
McMullen,400,132,5,
Madison,2891,1146,37,
Marion,2567,1644,41,
Martin,1389,314,12,
Mason,1544,546,31,
Matagorda,7835,4440,98,
Maverick,2316,8554,69,
Medina,10480,5147,110,
Menard,712,295,11,
Midland,36155,9691,428,
Milam,5217,3044,96,
Mills,1753,398,26,
Mitchell,1815,586,30,
Montague,6245,1597,108,
Montgomery,119884,36703,1664,
Moore,4282,1123,32,
Morris,3158,2055,35,
Motley,522,67,5,
Nacogdoches,14828,8393,170,
Navarro,10810,5400,111,
Newton,3446,1751,63,
Nolan,3485,1521,57,
Nueces,52391,47912,927,
Ochiltree,2851,243,15,
Oldham,813,102,5,
Orange,21509,7646,251,
Palo Pinto,7264,2499,127,
Panola,7582,2586,48,
Parker,36974,10502,475,
Parmer,2969,719,25,
Pecos,2480,1476,54,
Polk,13731,6230,188,
Potter,20761,8939,313,
Presidio,489,1252,16,
Rains,3146,1048,42,
Randall,41948,9468,416,
Reagan,795,197,2,
Real,1238,375,15,
Red River,3461,1539,52,
Reeves,1445,1606,26,
Refugio,1855,1382,24,
Roberts,477,41,0,
Robertson,3980,2675,55,
Rockwall,23300,8492,370,
Runnels,3118,720,29,
Rusk,13646,4983,93,
Sabine,3749,1077,48,
San Augustine,2342,1328,45,
San Jacinto,6151,2721,86,
San Patricio,12404,8854,138,
San Saba,1941,487,29,
Schleicher,970,324,10,
Scurry,4414,1088,67,
Shackelford,1284,208,13,
Shelby,6630,2548,42,
Sherman,884,127,9,
Smith,55187,23726,648,
Somervell,2677,799,57,
Starr,1492,8274,26,
Stephens,2869,626,31,
Sterling,520,97,2,
Stonewall,524,206,5,
Sutton,1189,381,8,
Swisher,1683,813,39,
Tarrant,348420,274880,5253,
Taylor,34317,12690,432,
Terrell,323,186,10,
Terry,2879,1379,22,
Throckmorton,671,166,1,
Titus,6028,3145,72,
Tom Green,27362,11158,341,
Travis,136981,254017,8890,
Trinity,4095,1925,57,
Tyler,5644,2166,100,
Upshur,11222,3790,152,
Upton,898,288,11,
Uvalde,4590,4126,50,
Val Verde,5752,6982,86,
Van Zandt,15734,4505,156,
Victoria,19878,9832,310,
Walker,11623,7334,189,
Waller,8265,7153,90,
Ward,2667,899,36,
Washington,10176,4034,167,
Webb,13119,33452,250,
Wharton,9431,4937,50,
Wheeler,1918,314,13,
Wichita,31731,13868,383,
Wilbarger,3283,1196,30,
Willacy,1456,3409,38,
Williamson,88323,67691,3152,
Wilson,10904,5362,100,
Winkler,1529,477,26,
Wise,15973,4471,195,
Wood,13658,4010,116,
Yoakum,1989,450,19,
Young,5942,1303,60,
Zapata,919,1939,8,
Zavala,596,3263,17,
