2012 US Presidential Election,Romney,Obama,Other,
Jefferson,43242,44668,717,
Jim Hogg,356,1301,10,
Jim Wells,4598,6492,76,
Johnson,37661,10496,681,
Jones,4262,1226,79,
Karnes,2825,1325,35,
Kaufman,24846,9472,352,
Kendall,14508,3043,232,
Kenedy,84,82,1,
Kent,335,66,4,
Kerr,17274,4338,267,
Kimble,1667,217,8,
King,139,5,1,
Kinney,880,522,23,
Kleberg,4058,4754,95,
Knox,1160,332,18,
Lamar,12826,4181,190,
Lamb,3058,998,35,
Lampasas,5621,1479,104,
La Salle,669,965,12,
Lavaca,6796,1428,70,
Lee,4507,1632,82,
Leon,5814,1062,84,
Liberty,17323,5202,221,
Limestone,5288,2208,67,
Lipscomb,1044,119,5,
Live Oak,3154,919,40,
Llano,7610,1822,126,
Loving,54,9,1,
Lubbock,63469,26271,1444,
Lynn,1439,506,14,
McCulloch,2419,537,37,
McLennan,47903,25694,944,
McMullen,431,67,5,
Madison,3028,967,33,
Marion,2733,1495,54,
Martin,1368,248,8,
Mason,1565,380,23,
Matagorda,8040,3980,113,
Maverick,2171,8303,89,
Medina,11079,4784,186,
Menard,665,171,13,
Midland,35689,8286,622,
Milam,5481,2636,113,
Mills,1882,279,40,
Mitchell,1756,538,22,
Montague,6549,1116,86,
Montgomery,137969,32920,2224,
Moore,3968,964,53,
Morris,3232,1858,49,
Motley,538,55,7,
Nacogdoches,13925,6465,263,
Navarro,10847,4350,167,
Newton,4112,1677,80,
Nolan,3282,1216,77,
Nueces,48966,45772,1366,
Ochiltree,2719,253,21,
Oldham,790,71,8,
Orange,23366,6800,352,
Palo Pinto,7393,1811,133,
Panola,7950,2211,69,
Parker,39243,7853,598,
Parmer,2011,529,14,
Pecos,2512,1591,47,
Polk,14071,4859,204,
Potter,18918,7126,406,
Presidio,504,1282,31,
Rains,3279,761,47,
Randall,41447,7574,675,
Reagan,676,158,9,
Real,1236,277,22,
Red River,3549,1482,43,
Reeves,1188,1655,34,
Refugio,1663,998,16,
Roberts,468,33,7,
Robertson,4419,2798,70,
Rockwall,27113,8120,445,
Runnels,3104,519,45,
Rusk,13924,4451,171,
Sabine,3727,807,44,
San Augustine,2469,1193,28,
San Jacinto,7107,2410,99,
San Patricio,12005,7856,217,
San Saba,1905,323,31,
Schleicher,787,221,9,
Scurry,4124,838,65,
Shackelford,1218,131,14,
Shelby,6879,2322,83,
Sherman,908,121,9,
Smith,57331,21456,814,
Somervell,2871,613,54,
Starr,1547,10260,76,
Stephens,2892,475,45,
Sterling,459,31,4,
Stonewall,507,160,8,
Sutton,1110,369,10,
Swisher,1655,579,36,
Tarrant,348920,253071,8899,
Taylor,32904,9750,609,
Terrell,358,184,13,
Terry,2602,1059,48,
Throckmorton,700,109,4,
Titus,6084,2648,122,
Tom Green,26878,9294,548,
Travis,140152,232788,14117,
Trinity,4537,1614,84,
Tyler,5910,1668,76,
Upshur,12015,2971,152,
Upton,953,333,14,
Uvalde,4529,3825,81,
Val Verde,5635,6285,161,
Van Zandt,15794,3084,222,
Victoria,19692,8802,359,
Walker,12140,6252,293,
Waller,9244,6514,144,
Ward,2366,841,38,
Washington,10857,3381,159,
Webb,11078,37597,435,
Wharton,9750,4235,102,
Wheeler,1878,232,18,
Wichita,29812,10525,681,
Wilbarger,2956,971,53,
Willacy,1416,3600,48,
Williamson,97006,61875,4390,
Wilson,12218,4821,166,
Winkler,1311,398,16,
Wise,17207,3221,317,
Wood,14351,3056,174,
Yoakum,1698,409,21,
Young,6225,992,99,
Zapata,997,2527,19,
Zavala,574,3042,37,
