1964 US Presidential Election,Goldwater,Johnson,Unpledged,
Mason,590,941,0,
Matagorda,2407,4143,0,
Maverick,545,2113,0,
Medina,1583,3408,0,
Menard,397,588,0,
Midland,11906,8646,0,
Milam,1334,4368,0,
Mills,495,1228,0,
Mitchell,737,2420,0,
Montague,1106,3746,0,
Montgomery,3167,4989,0,
Moore,1762,2393,0,
Morris,1218,2366,0,
Motley,324,678,0,
Nacogdoches,2976,4524,0,
Navarro,2139,6811,0,
Newton,738,2211,0,
Nolan,1610,3540,0,
Nueces,14048,40426,0,
Ochiltree,1814,920,0,
Oldham,269,397,0,
Orange,6216,9390,0,
Palo Pinto,1748,3791,0,
Panola,2818,2608,0,
Parker,2175,5270,0,
Parmer,1216,1556,0,
Pecos,1393,2068,0,
Polk,1199,2492,0,
Potter,11505,12850,0,
Presidio,431,1156,0,
Rains,272,893,0,
Randall,7843,6016,0,
Reagan,406,614,0,
Real,255,487,0,
Red River,1257,3391,0,
Reeves,1251,2340,0,
Refugio,772,2319,0,
Roberts,297,198,0,
Robertson,895,3350,0,
Rockwall,445,1305,0,
Runnels,1480,2645,0,
Rusk,5488,6528,0,
Sabine,428,1801,0,
San Augustine,760,1173,0,
San Jacinto,343,1680,0,
San Patricio,2188,7176,0,
San Saba,418,1859,0,
Schleicher,388,514,0,
Scurry,1741,3381,0,
Shackelford,487,934,0,
Shelby,2220,3487,0,
Sherman,629,462,0,
Smith,12960,12474,0,
Somervell,210,641,0,
Starr,678,4056,0,
Stephens,1119,1753,0,
Sterling,140,243,0,
Stonewall,219,978,0,
Sutton,357,694,0,
Swisher,815,2410,0,
Tarrant,56593,97092,0,
Taylor,9220,13366,0,
Terrell,294,364,0,
Terry,1592,3034,0,
Throckmorton,247,883,0,
Titus,1687,3528,0,
Tom Green,6664,9767,0,
Travis,19838,44058,0,
Trinity,763,1654,0,
Tyler,1216,1818,0,
Upshur,2222,4027,0,
Upton,636,958,0,
Uvalde,1963,2358,0,
Val Verde,1346,3555,0,
Van Zandt,1614,4047,0,
Victoria,4201,8141,0,
Walker,1557,2877,0,
Waller,980,2167,0,
Ward,1730,2221,0,
Washington,2019,2938,0,
Webb,1094,10073,0,
Wharton,2775,6234,0,
Wheeler,1138,1440,0,
Wichita,8585,19131,0,
Wilbarger,1539,3200,0,
Willacy,1230,2152,0,
Williamson,1766,7430,0,
Wilson,718,3472,0,
Winkler,1617,2059,0,
Wise,1386,3852,0,
Wood,2068,3528,0,
Yoakum,859,1415,0,
Young,1600,3395,0,
Zapata,135,1009,0,
Zavala,598,1784,0,
