1996 US Presidential Election,Dole,Clinton,Perot,
Ochiltree,2448,467,167,
Oldham,583,213,77,
Orange,12560,13741,2836,
Palo Pinto,3666,3938,1011,
Panola,4008,4168,777,
Parker,14580,9447,2703,
Parmer,2042,676,160,
Pecos,1730,1816,369,
Polk,6473,6360,1347,
Potter,14995,9273,1799,
Presidio,383,1205,111,
Rains,1123,1265,335,
Randall,28266,9177,1985,
Reagan,645,407,101,
Real,845,414,178,
Red River,1783,2339,433,
Reeves,1007,2279,245,
Refugio,1376,1635,222,
Roberts,421,122,40,
Robertson,1944,2912,315,
Rockwall,8319,3289,1121,
Runnels,1941,1417,396,
Rusk,8423,5988,1072,
Sabine,1660,1913,334,
San Augustine,1296,1924,324,
San Jacinto,2878,2771,810,
San Patricio,7678,8132,1085,
San Saba,991,726,194,
Schleicher,587,505,111,
Scurry,2929,2099,813,
Shackelford,792,502,169,
Shelby,3482,3720,815,
Sherman,809,243,89,
Smith,32171,18265,2933,
Somervell,1099,993,273,
Starr,756,6312,157,
Stephens,1714,1218,336,
Sterling,394,186,86,
Stonewall,323,487,105,
Sutton,688,508,102,
Swisher,1159,1224,195,
Tarrant,208312,170431,28715,
Taylor,23682,13213,2912,
Terrell,185,278,47,
Terry,2013,1272,269,
Throckmorton,360,285,90,
Titus,3438,3725,744,
Tom Green,18112,11782,2757,
Travis,98454,128970,14008,
Trinity,2058,2774,460,
Tyler,2804,3340,645,
Upshur,5174,5032,1086,
Upton,685,424,88,
Uvalde,3494,3397,403,
Val Verde,4357,5623,548,
Van Zandt,7453,5752,1756,
Victoria,14457,8238,1197,
Walker,7177,6088,1186,
Waller,3559,4535,499,
Ward,1620,1644,446,
Washington,6319,3460,601,
Webb,4712,18997,936,
Wharton,6163,5176,871,
Wheeler,1355,750,174,
Wichita,20495,15775,3371,
Wilbarger,2037,1730,465,
Willacy,1332,3789,241,
Williamson,36836,24175,4931,
Wilson,4530,3713,760,
Winkler,1009,872,218,
Wise,6330,5056,1516,
Wood,6228,4711,1184,
Yoakum,1485,738,218,
Young,3647,2394,639,
Zapata,521,1786,131,
Zavala,463,2629,91,
