1972 US Presidential Election,Nixon,McGovern,Other,
Robertson,1977,1976,0,
Rockwall,1890,610,18,
Runnels,2752,739,0,
Rusk,8179,2867,26,
Sabine,1333,936,4,
San Augustine,1508,753,7,
San Jacinto,1296,1020,6,
San Patricio,7179,5097,226,
San Saba,1106,567,8,
Schleicher,630,250,1,
Scurry,3777,1223,50,
Shackelford,909,331,4,
Shelby,4292,1792,8,
Sherman,996,169,16,
Smith,23671,8041,115,
Somervell,703,284,0,
Starr,2389,3320,4,
Stephens,2259,678,7,
Sterling,286,94,3,
Stonewall,662,394,19,
Sutton,705,245,7,
Swisher,1790,1300,32,
Tarrant,151596,69187,355,
Taylor,22417,6024,290,
Terrell,467,124,0,
Terry,3057,1099,34,
Throckmorton,568,348,3,
Titus,3671,1703,19,
Tom Green,15784,6082,95,
Travis,70561,54157,611,
Trinity,1467,826,2,
Tyler,2955,1321,14,
Upshur,4736,1879,9,
Upton,1186,256,21,
Uvalde,3883,1438,6,
Val Verde,4052,2049,23,
Van Zandt,4839,1939,6,
Victoria,11246,4226,26,
Walker,5082,2940,19,
Waller,2263,1538,38,
Ward,2687,1049,56,
Washington,3862,1323,13,
Webb,6011,8435,12,
Wharton,6271,3481,5,
Wheeler,1766,502,0,
Wichita,25197,10948,537,
Wilbarger,3183,1139,197,
Willacy,2317,1384,29,
Williamson,6998,3806,63,
Wilson,2953,2072,7,
Winkler,2467,602,26,
Wise,4230,1741,35,
Wood,4746,1842,70,
Yoakum,1952,457,34,
Young,3353,1486,1,
Zapata,695,768,0,
Zavala,1288,1122,22,
