1980 US Presidential Election,Reagan,Carter,Anderson,
Refugio,1944,2224,57,
Roberts,482,150,4,
Robertson,1661,3572,33,
Rockwall,4036,1985,113,
Runnels,2532,1648,36,
Rusk,8705,5582,116,
Sabine,1387,1983,15,
San Augustine,1397,1674,14,
San Jacinto,1726,2376,42,
San Patricio,8326,8627,280,
San Saba,948,1405,23,
Schleicher,672,444,6,
Scurry,3745,2003,53,
Shackelford,959,606,9,
Shelby,3500,4215,71,
Sherman,1128,286,28,
Smith,28236,14838,414,
Somervell,792,1015,21,
Starr,1389,4782,50,
Stephens,2161,1372,34,
Sterling,364,218,2,
Stonewall,488,719,6,
Sutton,1000,485,13,
Swisher,1450,1854,50,
Tarrant,173466,121068,7818,
Taylor,22961,13245,620,
Terrell,411,260,14,
Terry,3178,1945,45,
Throckmorton,444,455,7,
Titus,3747,3872,44,
Tom Green,16555,9892,661,
Travis,73151,75028,9796,
Trinity,1503,2510,32,
Tyler,2545,3540,70,
Upshur,4836,4894,78,
Upton,1169,485,13,
Uvalde,3887,2402,62,
Val Verde,5055,4116,145,
Van Zandt,5495,5707,78,
Victoria,13392,7382,347,
Walker,5657,4869,274,
Waller,3019,3329,76,
Ward,2912,1405,50,
Washington,4821,2518,95,
Webb,5421,11856,242,
Wharton,6598,5138,160,
Wheeler,1626,1090,16,
Wichita,22884,17657,847,
Wilbarger,3031,2347,53,
Willacy,1995,3047,38,
Williamson,15035,10408,946,
Wilson,3443,3097,73,
Winkler,2160,1021,35,
Wise,4350,4674,108,
Wood,4515,4033,74,
Yoakum,1937,715,28,
Young,4153,2740,84,
Zapata,874,1218,19,
Zavala,831,2621,69,
