2000 US Presidential Election,Bush,Gore,Nader,
Terrell,243,219,7,
Terry,2910,1108,18,
Throckmorton,608,228,4,
Titus,4995,3008,65,
Tom Green,24733,9288,454,
Travis,141235,125526,31243,
Trinity,3093,2142,40,
Tyler,4236,2775,65,
Upshur,8448,4180,116,
Upton,982,266,11,
Uvalde,4855,3436,36,
Val Verde,6223,5056,129,
Van Zandt,12383,5245,141,
Victoria,18787,8176,215,
Walker,9076,4943,274,
Waller,5686,5046,95,
Ward,2534,1256,58,
Washington,8645,2996,133,
Webb,13076,18120,256,
Wharton,8455,4838,103,
Wheeler,1787,579,15,
Wichita,27802,14108,518,
Wilbarger,3138,1356,43,
Willacy,1789,3218,24,
Williamson,65041,26591,3486,
Wilson,7509,3997,130,
Winkler,1468,556,5,
Wise,11234,4830,185,
Wood,9810,3893,128,
Yoakum,1911,531,10,
Young,5022,1843,46,
Zapata,953,1638,11,
Zavala,751,2616,14,
